	'prog'	'id'	';'	'inicio'	'fim'	'vetor'	'['	']'	'de'	'='	'('	')'	','	'..'	'var'	':'	'tipo'	':='	'registro'	'value'	'rotulo'	'const'	'proc'	'func'	'ref'	'pare'	'continue'	'pule'	'escreva'	'leia'	'retorne'	'para'	'faca'	'enquanto'	'repita'	'ate'	'se'	'entao'	'senao'	'caso'	'seja'	'and'	'or'	'=='	'!='	'>'	'<'	'>='	'<='	'~'	'+'	'-'	'*'	'/'	'inteiro'	'real'	'logico'	'texto'	'literalint'	'literalreal'	'literallogico'	'literaltexto'	'.'	ε
T72		T93, 99									T93, 99																																							T93, 99	T93, 99	T93, 99							T93, 99	T93, 99	T93, 99	T93, 99		
T73		T94 T95, 56		T94 T95, 56																						T94 T95, 56	T94 T95, 56	T94 T95, 56	T94 T95, 56	T94 T95, 56	T94 T95, 56	T94 T95, 56		T94 T95, 56	T94 T95, 56		T94 T95, 56			T94 T95, 56																								
T74		T96 T97, 100									T96 T97, 100																																							T96 T97, 100	T96 T97, 100	T96 T97, 100							T96 T97, 100	T96 T97, 100	T96 T97, 100	T96 T97, 100		
T75		T69 T98, 97									T69 T98, 97																																							T69 T98, 97	T69 T98, 97	T69 T98, 97							T69 T98, 97	T69 T98, 97	T69 T98, 97	T69 T98, 97		
T76		T104 T105, 53		T102, 50																						'pare', 46	'continue', 52	T106, 54	T99, 47	T100, 48	T103, 51	T101, 49		T101, 49	T101, 49		T107, 55			T107, 55																								
T77			ε, 87		ε, 87																																		'senao' T18, 86																									
T78		T108 T109, 91																																																									T108 T109, 91	T108 T109, 91	T108 T109, 91	T108 T109, 91		
T79					'fim', 89																																		'senao' T10 'fim', 90																									
T80		T111, 146																																																									T110, 145	T110, 145	T110, 145	T110, 145		
T81		T112 T113, 18				T114, 19																																																	T112 T113, 18	T112 T113, 18	T112 T113, 18	T112 T113, 18						
T82																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T83		'id' T115, 147																																																														
T84																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T85		'id' T116, 147																																																														
T86		T117 T118, 120									T117 T118, 120																																								T117 T118, 120	T117 T118, 120							T117 T118, 120	T117 T118, 120	T117 T118, 120	T117 T118, 120		
T87			ε, 119																																							ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T86 T87, 117	'-' T86 T87, 118												
T88			ε, 108																																							ε, 108	ε, 108	'==' T119 T88, 106	'!=' T119 T88, 107																			
T89		T120 T121, 114									T120 T121, 114																																							'~' T120 T121, 115	T120 T121, 114	T120 T121, 114							T120 T121, 114	T120 T121, 114	T120 T121, 114	T120 T121, 114		
T90		T122 T123, 100									T122 T123, 100																																							T122 T123, 100	T122 T123, 100	T122 T123, 100							T122 T123, 100	T122 T123, 100	T122 T123, 100	T122 T123, 100		
T91		T124, 71	ε, 72																																																													
T92		T125, 76		T125, 76								ε, 77														T125, 76	T125, 76	T125, 76	T125, 76	T125, 76	T125, 76	T125, 76		T125, 76	T125, 76		T125, 76			T125, 76																								
T93		T126 T127, 100									T126 T127, 100																																							T126 T127, 100	T126 T127, 100	T126 T127, 100							T126 T127, 100	T126 T127, 100	T126 T127, 100	T126 T127, 100		
T94		T133 T134, 53		T131, 50																						'pare', 46	'continue', 52	T135, 54	T128, 47	T129, 48	T132, 51	T130, 49		T130, 49	T130, 49		T136, 55			T136, 55																								
T95			';' T73, 57																																	ε, 58																												
T96		T137 T138, 114									T137 T138, 114																																							'~' T137 T138, 115	T137 T138, 114	T137 T138, 114							T137 T138, 114	T137 T138, 114	T137 T138, 114	T137 T138, 114		
T97			T139, 101		T139, 101																																					T139, 101	T139, 101	T140, 102	T140, 102																			
			T140, 102		T140, 102																																																											
T98													',' T69 T98, 98																																																			
T99																													'escreva' '(' T48 ')', 63																																			
T100																														'leia' '(' T48 ')', 64																																		
T101																																T141, 66		T142, 67	T143, 68																													
T102				'inicio' T4 'fim', 2																																																												
T103																															'retorne' T144, 65																																	
T104		'id' T145, 147																																																														
T105			ε, 61		ε, 61											':' T76, 59		':=' T144, 60																					ε, 61																									
T106																												'pule' 'id', 62																																				
T107																																					T146, 83			T147, 84																								
T108		T148 ':' T149, 96																																																									T148 ':' T149, 96	T148 ':' T149, 96	T148 ':' T149, 96	T148 ':' T149, 96		
T109			';' T150, 92		ε, 93																																		ε, 93																									
T110																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T111		'id' T151, 147																																																														
T112		'id', 140																																																					'inteiro', 136	'real', 137	'logico', 138	'texto', 139						
T113			ε, 21		ε, 21					'=' T52, 20																																																						
T114						'vetor' '[' T40 ']' 'de' T112 T152, 10																																																										
T115							'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																																																	'.' T83, 149	
T116			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150																																																				'.' T85, 149	
T117		T153 T154, 124									'(' T93 ')', 126																																								T155 T156, 125	T155 T156, 125							T153 T154, 124	T153 T154, 124	T153 T154, 124	T153 T154, 124		
T118			ε, 123																																							ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T117 T118, 121	'/' T117 T118, 122										
T119		T157 T158, 114									T157 T158, 114																																							'~' T157 T158, 115	T157 T158, 114	T157 T158, 114							T157 T158, 114	T157 T158, 114	T157 T158, 114	T157 T158, 114		
T120		T159 T160, 116									T159 T160, 116																																								T159 T160, 116	T159 T160, 116							T159 T160, 116	T159 T160, 116	T159 T160, 116	T159 T160, 116		
T121			ε, 113																																									ε, 113	ε, 113	'>' T89, 109	'<' T89, 110	'>=' T89, 111	'<=' T89, 112															
T122		T161 T162, 114									T161 T162, 114																																							'~' T161 T162, 115	T161 T162, 114	T161 T162, 114							T161 T162, 114	T161 T162, 114	T161 T162, 114	T161 T162, 114		
T123													T163, 101																													T163, 101	T163, 101	T164, 102	T164, 102																			
													T164, 102																																																			
T124		'id' '=' T165 T166, 73																																																														
