	'prog'	'id'	';'	'inicio'	'fim'	'vetor'	'['	']'	'de'	'='	'('	')'	','	'..'	'var'	':'	'tipo'	':='	'registro'	'value'	'rotulo'	'const'	'proc'	'func'	'ref'	'pare'	'continue'	'pule'	'escreva'	'leia'	'retorne'	'para'	'faca'	'enquanto'	'repita'	'ate'	'se'	'entao'	'senao'	'caso'	'seja'	'and'	'or'	'=='	'!='	'>'	'<'	'>='	'<='	'~'	'+'	'-'	'*'	'/'	'inteiro'	'real'	'logico'	'texto'	'literalint'	'literalreal'	'literallogico'	'literaltexto'	'.'	ε
T250			T307, 101										T307, 101																													T307, 101	T307, 101	T308, 102	T308, 102																			
			T308, 102										T308, 102																																																			
T251																													'escreva' '(' T48 ')', 63																																			
T252																														'leia' '(' T48 ')', 64																																		
T253																																T309, 66		T310, 67	T311, 68																													
T254				'inicio' T4 'fim', 2																																																												
T255																															'retorne' T312, 65																																	
T256		'id' T313, 147																																																														
T257			ε, 61									ε, 61	ε, 61			':' T210, 59		':=' T312, 60																																														
T258																												'pule' 'id', 62																																				
T259																																					T314, 83			T315, 84																								
T260		T316 T317, 124									'(' T93 ')', 126																																								T155 T318, 125	T155 T318, 125							T316 T317, 124	T316 T317, 124	T316 T317, 124	T316 T317, 124		
T261												ε, 123																														ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T260 T261, 121	'/' T260 T261, 122										
T262		T319 T320, 114									T319 T320, 114																																							'~' T319 T320, 115	T319 T320, 114	T319 T320, 114							T319 T320, 114	T319 T320, 114	T319 T320, 114	T319 T320, 114		
T263		T321 T322, 116									T321 T322, 116																																								T321 T322, 116	T321 T322, 116							T321 T322, 116	T321 T322, 116	T321 T322, 116	T321 T322, 116		
T264												ε, 113																																ε, 113	ε, 113	'>' T215, 109	'<' T215, 110	'>=' T215, 111	'<=' T215, 112															
T265		T323 T324, 114									T323 T324, 114																																							'~' T323 T324, 115	T323 T324, 114	T323 T324, 114							T323 T324, 114	T323 T324, 114	T323 T324, 114	T323 T324, 114		
T266			T325, 101																																	T325, 101						T325, 101	T325, 101	T326, 102	T326, 102																			
			T326, 102																																	T326, 102																												
T267																													'escreva' '(' T48 ')', 63																																			
T268																														'leia' '(' T48 ')', 64																																		
T269																																T327, 66		T328, 67	T329, 68																													
T270				'inicio' T4 'fim', 2																																																												
T271																															'retorne' T330, 65																																	
T272		'id' T331, 147																																																														
T273			ε, 61													':' T217, 59		':=' T330, 60																		ε, 61			ε, 61																									
T274																												'pule' 'id', 62																																				
T275																																					T332, 83			T333, 84																								
T276		T335, 146																																																									T334, 145	T334, 145	T334, 145	T334, 145		
T277			ε, 128		ε, 128									'..' T336, 127																												ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T278		T336, 132									'(' T93 ')', 131																																																T336, 132	T336, 132	T336, 132	T336, 132		
T279		T337 T338, 116									T337 T338, 116																																								T337 T338, 116	T337 T338, 116							T337 T338, 116	T337 T338, 116	T337 T338, 116	T337 T338, 116		
T280			ε, 113		ε, 113																																					ε, 113	ε, 113	ε, 113	ε, 113	'>' T222, 109	'<' T222, 110	'>=' T222, 111	'<=' T222, 112															
T281		T339 T340, 120									T339 T340, 120																																								T339 T340, 120	T339 T340, 120							T339 T340, 120	T339 T340, 120	T339 T340, 120	T339 T340, 120		
T282			ε, 119		ε, 119																																							ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T281 T282, 117	'-' T281 T282, 118												
T283		T341 T342, 116									T341 T342, 116																																								T341 T342, 116	T341 T342, 116							T341 T342, 116	T341 T342, 116	T341 T342, 116	T341 T342, 116		
T284			ε, 113		ε, 113																																		ε, 113			ε, 113	ε, 113	ε, 113	ε, 113	'>' T225, 109	'<' T225, 110	'>=' T225, 111	'<=' T225, 112															
T285			ε, 105		ε, 105																																		ε, 105			'and' T343 T285, 103	'or' T343 T285, 104																					
T286			ε, 108		ε, 108																																		ε, 108					'==' T344 T286, 106	'!=' T344 T286, 107																			
T287							'[' T75 ']', 148				'(' T48 ')', 150		ε, 151			ε, 151																																															'.' T228, 149	
T288		T345 T346, 100									T345 T346, 100																																							T345 T346, 100	T345 T346, 100	T345 T346, 100							T345 T346, 100	T345 T346, 100	T345 T346, 100	T345 T346, 100		
T289			ε, 87		ε, 87																																		'senao' T149, 86																									
																																							ε, 87																									
T290					'fim', 89																																		'senao' T10 'fim', 90																									
T291			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150																															ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T238, 149	
T292		T348, 146																																																									T347, 145	T347, 145	T347, 145	T347, 145		
T293			ε, 128											'..' T349, 127																												ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T294		T349, 132									'(' T93 ')', 131																																																T349, 132	T349, 132	T349, 132	T349, 132		
T295																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T296		'id' T350, 147																																																														
T297		T352, 146																																																									T351, 145	T351, 145	T351, 145	T351, 145		
T298		T354, 146																																																									T353, 145	T353, 145	T353, 145	T353, 145		
T299													ε, 128	'..' T355, 127																												ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T300		T355, 132									'(' T93 ')', 131																																																T355, 132	T355, 132	T355, 132	T355, 132		
T301		T356 T357, 116									T356 T357, 116																																								T356 T357, 116	T356 T357, 116							T356 T357, 116	T356 T357, 116	T356 T357, 116	T356 T357, 116		
T302													ε, 113																													ε, 113	ε, 113	ε, 113	ε, 113	'>' T246, 109	'<' T246, 110	'>=' T246, 111	'<=' T246, 112															
T303		T358 T359, 120									T358 T359, 120																																								T358 T359, 120	T358 T359, 120							T358 T359, 120	T358 T359, 120	T358 T359, 120	T358 T359, 120		
T304													ε, 119																															ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T303 T304, 117	'-' T303 T304, 118												
T305		T360 T361, 116									T360 T361, 116																																								T360 T361, 116	T360 T361, 116							T360 T361, 116	T360 T361, 116	T360 T361, 116	T360 T361, 116		
T306			ε, 113										ε, 113																													ε, 113	ε, 113	ε, 113	ε, 113	'>' T249, 109	'<' T249, 110	'>=' T249, 111	'<=' T249, 112															
T307			ε, 105										ε, 105																													'and' T362 T307, 103	'or' T362 T307, 104																					
T308			ε, 108										ε, 108																															'==' T363 T308, 106	'!=' T363 T308, 107																			
T309																																'para' '(' T71 ')' 'faca' T210, 69																																
T310																																		'enquanto' '(' T72 ')' 'faca' T210, 81																														
T311																																			'repita' T73 'ate' T312, 82																													
T312		T364, 99									T364, 99																																							T364, 99	T364, 99	T364, 99							T364, 99	T364, 99	T364, 99	T364, 99		
T313			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150	ε, 151	ε, 151			ε, 151		ε, 151																																													'.' T256, 149	
T314																																					'se' '(' T72 ')' 'entao' T365 T366, 85																											
T315																																								'caso' '(' T72 ')' 'seja' T78 T367, 88																								
T316		T369, 146																																																									T368, 145	T368, 145	T368, 145	T368, 145		
T317												ε, 128		'..' T370, 127																												ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T318		T370, 132									'(' T93 ')', 131																																																T370, 132	T370, 132	T370, 132	T370, 132		
T319		T371 T372, 116									T371 T372, 116																																								T371 T372, 116	T371 T372, 116							T371 T372, 116	T371 T372, 116	T371 T372, 116	T371 T372, 116		
T320												ε, 113																														ε, 113	ε, 113	ε, 113	ε, 113	'>' T262, 109	'<' T262, 110	'>=' T262, 111	'<=' T262, 112															
T321		T373 T374, 120									T373 T374, 120																																								T373 T374, 120	T373 T374, 120							T373 T374, 120	T373 T374, 120	T373 T374, 120	T373 T374, 120		
T322												ε, 119																																ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T321 T322, 117	'-' T321 T322, 118												
T323		T375 T376, 116									T375 T376, 116																																								T375 T376, 116	T375 T376, 116							T375 T376, 116	T375 T376, 116	T375 T376, 116	T375 T376, 116		
T324			ε, 113																																	ε, 113						ε, 113	ε, 113	ε, 113	ε, 113	'>' T265, 109	'<' T265, 110	'>=' T265, 111	'<=' T265, 112															
T325			ε, 105																																	ε, 105						'and' T377 T325, 103	'or' T377 T325, 104																					
T326			ε, 108																																	ε, 108								'==' T378 T326, 106	'!=' T378 T326, 107																			
T327																																'para' '(' T71 ')' 'faca' T217, 69																																
T328																																		'enquanto' '(' T72 ')' 'faca' T217, 81																														
T329																																			'repita' T73 'ate' T330, 82																													
T330		T379, 99									T379, 99																																							T379, 99	T379, 99	T379, 99							T379, 99	T379, 99	T379, 99	T379, 99		
T331			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150					ε, 151		ε, 151																		ε, 151			ε, 151																								'.' T272, 149	
T332																																					'se' '(' T72 ')' 'entao' T217 T380, 85																											
T333																																								'caso' '(' T72 ')' 'seja' T78 T381, 88																								
T334																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T335		'id' T382, 147																																																														
T336		T384, 146																																																									T383, 145	T383, 145	T383, 145	T383, 145		
T337		T385 T386, 120									T385 T386, 120																																								T385 T386, 120	T385 T386, 120							T385 T386, 120	T385 T386, 120	T385 T386, 120	T385 T386, 120		
T338			ε, 119		ε, 119																																					ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T337 T338, 117	'-' T337 T338, 118												
T339		T387 T388, 124									'(' T93 ')', 126																																								T155 T389, 125	T155 T389, 125							T387 T388, 124	T387 T388, 124	T387 T388, 124	T387 T388, 124		
T340			ε, 123		ε, 123																																							ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T339 T340, 121	'/' T339 T340, 122										
T341		T390 T391, 120									T390 T391, 120																																								T390 T391, 120	T390 T391, 120							T390 T391, 120	T390 T391, 120	T390 T391, 120	T390 T391, 120		
T342			ε, 119		ε, 119																																		ε, 119			ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T341 T342, 117	'-' T341 T342, 118												
T343			ε, 108		ε, 108																																		ε, 108			ε, 108	ε, 108	'==' T392 T343, 106	'!=' T392 T343, 107																			
T344		T393 T394, 114									T393 T394, 114																																							'~' T393 T394, 115	T393 T394, 114	T393 T394, 114							T393 T394, 114	T393 T394, 114	T393 T394, 114	T393 T394, 114		
T345		T395 T396, 114									T395 T396, 114																																							'~' T395 T396, 115	T395 T396, 114	T395 T396, 114							T395 T396, 114	T395 T396, 114	T395 T396, 114	T395 T396, 114		
T346			T397, 101		T397, 101																																		T397, 101			T397, 101	T397, 101	T398, 102	T398, 102																			
			T398, 102		T398, 102																																		T398, 102																									
T347																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T348		'id' T399, 147																																																														
T349		T401, 146																																																									T400, 145	T400, 145	T400, 145	T400, 145		
T350			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																														ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T296, 149	
T351																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T352		'id' T402, 147																																																														
T353																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T354		'id' T403, 147																																																														
T355		T405, 146																																																									T404, 145	T404, 145	T404, 145	T404, 145		
T356		T406 T407, 120									T406 T407, 120																																								T406 T407, 120	T406 T407, 120							T406 T407, 120	T406 T407, 120	T406 T407, 120	T406 T407, 120		
T357													ε, 119																													ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T356 T357, 117	'-' T356 T357, 118												
T358		T408 T409, 124									'(' T93 ')', 126																																								T155 T410, 125	T155 T410, 125							T408 T409, 124	T408 T409, 124	T408 T409, 124	T408 T409, 124		
T359													ε, 123																															ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T358 T359, 121	'/' T358 T359, 122										
T360		T411 T412, 120									T411 T412, 120																																								T411 T412, 120	T411 T412, 120							T411 T412, 120	T411 T412, 120	T411 T412, 120	T411 T412, 120		
T361			ε, 119										ε, 119																													ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T360 T361, 117	'-' T360 T361, 118												
T362			ε, 108										ε, 108																													ε, 108	ε, 108	'==' T413 T362, 106	'!=' T413 T362, 107																			
T363		T414 T415, 114									T414 T415, 114																																							'~' T414 T415, 115	T414 T415, 114	T414 T415, 114							T414 T415, 114	T414 T415, 114	T414 T415, 114	T414 T415, 114		
T364		T416 T417, 100									T416 T417, 100																																							T416 T417, 100	T416 T417, 100	T416 T417, 100							T416 T417, 100	T416 T417, 100	T416 T417, 100	T416 T417, 100		
T365		T423 T424, 53		T421, 50																						'pare', 46	'continue', 52	T425, 54	T418, 47	T419, 48	T422, 51	T420, 49		T420, 49	T420, 49		T426, 55			T426, 55																								
T366			ε, 87									ε, 87	ε, 87																										'senao' T210, 86																									
T367					'fim', 89																																		'senao' T10 'fim', 90																									
T368																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T369		'id' T427, 147																																																														
T370		T429, 146																																																									T428, 145	T428, 145	T428, 145	T428, 145		
T371		T430 T431, 120									T430 T431, 120																																								T430 T431, 120	T430 T431, 120							T430 T431, 120	T430 T431, 120	T430 T431, 120	T430 T431, 120		
T372												ε, 119																														ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T371 T372, 117	'-' T371 T372, 118												
T373		T432 T433, 124									'(' T93 ')', 126																																								T155 T434, 125	T155 T434, 125							T432 T433, 124	T432 T433, 124	T432 T433, 124	T432 T433, 124		
T374												ε, 123																																ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T373 T374, 121	'/' T373 T374, 122										
T375		T435 T436, 120									T435 T436, 120																																								T435 T436, 120	T435 T436, 120							T435 T436, 120	T435 T436, 120	T435 T436, 120	T435 T436, 120		
T376			ε, 119																																	ε, 119						ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T375 T376, 117	'-' T375 T376, 118												
T377			ε, 108																																	ε, 108						ε, 108	ε, 108	'==' T437 T377, 106	'!=' T437 T377, 107																			
T378		T438 T439, 114									T438 T439, 114																																							'~' T438 T439, 115	T438 T439, 114	T438 T439, 114							T438 T439, 114	T438 T439, 114	T438 T439, 114	T438 T439, 114		
T379		T440 T441, 100									T440 T441, 100																																							T440 T441, 100	T440 T441, 100	T440 T441, 100							T440 T441, 100	T440 T441, 100	T440 T441, 100	T440 T441, 100		
T380			ε, 87																																	ε, 87			'senao' T217, 86																									
																																							ε, 87																									
T381					'fim', 89																																		'senao' T10 'fim', 90																									
T382			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																												ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T335, 149	
T383																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T384		'id' T442, 147																																																														
T385		T443 T444, 124									'(' T93 ')', 126																																								T155 T445, 125	T155 T445, 125							T443 T444, 124	T443 T444, 124	T443 T444, 124	T443 T444, 124		
T386			ε, 123		ε, 123																																					ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T385 T386, 121	'/' T385 T386, 122										
T387		T447, 146																																																									T446, 145	T446, 145	T446, 145	T446, 145		
T388			ε, 128		ε, 128									'..' T448, 127																														ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T389		T448, 132									'(' T93 ')', 131																																																T448, 132	T448, 132	T448, 132	T448, 132		
T390		T449 T450, 124									'(' T93 ')', 126																																								T155 T451, 125	T155 T451, 125							T449 T450, 124	T449 T450, 124	T449 T450, 124	T449 T450, 124		
T391			ε, 123		ε, 123																																		ε, 123			ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T390 T391, 121	'/' T390 T391, 122										
T392		T452 T453, 114									T452 T453, 114																																							'~' T452 T453, 115	T452 T453, 114	T452 T453, 114							T452 T453, 114	T452 T453, 114	T452 T453, 114	T452 T453, 114		
T393		T454 T455, 116									T454 T455, 116																																								T454 T455, 116	T454 T455, 116							T454 T455, 116	T454 T455, 116	T454 T455, 116	T454 T455, 116		
T394			ε, 113		ε, 113																																		ε, 113					ε, 113	ε, 113	'>' T344, 109	'<' T344, 110	'>=' T344, 111	'<=' T344, 112															
T395		T456 T457, 116									T456 T457, 116																																								T456 T457, 116	T456 T457, 116							T456 T457, 116	T456 T457, 116	T456 T457, 116	T456 T457, 116		
T396			ε, 113		ε, 113																																		ε, 113			ε, 113	ε, 113	ε, 113	ε, 113	'>' T345, 109	'<' T345, 110	'>=' T345, 111	'<=' T345, 112															
T397			ε, 105		ε, 105																																		ε, 105			'and' T458 T397, 103	'or' T458 T397, 104																					
T398			ε, 108		ε, 108																																		ε, 108					'==' T459 T398, 106	'!=' T459 T398, 107																			
T399			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																												ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T348, 149	
T400																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T401		'id' T460, 147																																																														
T402			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150																																	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T352, 149	
T403							'[' T75 ']', 148				'(' T48 ')', 150		ε, 151	ε, 151																												ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T354, 149	
T404																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T405		'id' T461, 147																																																														
T406		T462 T463, 124									'(' T93 ')', 126																																								T155 T464, 125	T155 T464, 125							T462 T463, 124	T462 T463, 124	T462 T463, 124	T462 T463, 124		
T407													ε, 123																													ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T406 T407, 121	'/' T406 T407, 122										
T408		T466, 146																																																									T465, 145	T465, 145	T465, 145	T465, 145		
T409													ε, 128	'..' T467, 127																														ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T410		T467, 132									'(' T93 ')', 131																																																T467, 132	T467, 132	T467, 132	T467, 132		
T411		T468 T469, 124									'(' T93 ')', 126																																								T155 T470, 125	T155 T470, 125							T468 T469, 124	T468 T469, 124	T468 T469, 124	T468 T469, 124		
T412			ε, 123										ε, 123																													ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T411 T412, 121	'/' T411 T412, 122										
T413		T471 T472, 114									T471 T472, 114																																							'~' T471 T472, 115	T471 T472, 114	T471 T472, 114							T471 T472, 114	T471 T472, 114	T471 T472, 114	T471 T472, 114		
T414		T473 T474, 116									T473 T474, 116																																								T473 T474, 116	T473 T474, 116							T473 T474, 116	T473 T474, 116	T473 T474, 116	T473 T474, 116		
T415			ε, 113										ε, 113																															ε, 113	ε, 113	'>' T363, 109	'<' T363, 110	'>=' T363, 111	'<=' T363, 112															
T416		T475 T476, 114									T475 T476, 114																																							'~' T475 T476, 115	T475 T476, 114	T475 T476, 114							T475 T476, 114	T475 T476, 114	T475 T476, 114	T475 T476, 114		
T417			T477, 101									T477, 101	T477, 101																													T477, 101	T477, 101	T478, 102	T478, 102																			
			T478, 102									T478, 102	T478, 102																																																			
T418																													'escreva' '(' T48 ')', 63																																			
T419																														'leia' '(' T48 ')', 64																																		
T420																																T479, 66		T480, 67	T481, 68																													
T421				'inicio' T4 'fim', 2																																																												
T422																															'retorne' T482, 65																																	
T423		'id' T483, 147																																																														
T424			ε, 61									ε, 61	ε, 61			':' T365, 59		':=' T482, 60																					ε, 61																									
T425																												'pule' 'id', 62																																				
T426																																					T484, 83			T485, 84																								
T427							'[' T75 ']', 148				'(' T48 ')', 150	ε, 151		ε, 151																												ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T369, 149	
T428																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T429		'id' T486, 147																																																														
T430		T487 T488, 124									'(' T93 ')', 126																																								T155 T489, 125	T155 T489, 125							T487 T488, 124	T487 T488, 124	T487 T488, 124	T487 T488, 124		
T431												ε, 123																														ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T430 T431, 121	'/' T430 T431, 122										
T432		T491, 146																																																									T490, 145	T490, 145	T490, 145	T490, 145		
T433												ε, 128		'..' T492, 127																														ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T434		T492, 132									'(' T93 ')', 131																																																T492, 132	T492, 132	T492, 132	T492, 132		
T435		T493 T494, 124									'(' T93 ')', 126																																								T155 T495, 125	T155 T495, 125							T493 T494, 124	T493 T494, 124	T493 T494, 124	T493 T494, 124		
T436			ε, 123																																	ε, 123						ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T435 T436, 121	'/' T435 T436, 122										
T437		T496 T497, 114									T496 T497, 114																																							'~' T496 T497, 115	T496 T497, 114	T496 T497, 114							T496 T497, 114	T496 T497, 114	T496 T497, 114	T496 T497, 114		
T438		T498 T499, 116									T498 T499, 116																																								T498 T499, 116	T498 T499, 116							T498 T499, 116	T498 T499, 116	T498 T499, 116	T498 T499, 116		
T439			ε, 113																																	ε, 113								ε, 113	ε, 113	'>' T378, 109	'<' T378, 110	'>=' T378, 111	'<=' T378, 112															
T440		T500 T501, 114									T500 T501, 114																																							'~' T500 T501, 115	T500 T501, 114	T500 T501, 114							T500 T501, 114	T500 T501, 114	T500 T501, 114	T500 T501, 114		
T441			T502, 101																																	T502, 101			T502, 101			T502, 101	T502, 101	T503, 102	T503, 102																			
			T503, 102																																	T503, 102			T503, 102																									
T442			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150																															ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T384, 149	
T443		T505, 146																																																									T504, 145	T504, 145	T504, 145	T504, 145		
T444			ε, 128		ε, 128									'..' T506, 127																												ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T445		T506, 132									'(' T93 ')', 131																																																T506, 132	T506, 132	T506, 132	T506, 132		
T446																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T447		'id' T507, 147																																																														
T448		T509, 146																																																									T508, 145	T508, 145	T508, 145	T508, 145		
T449		T511, 146																																																									T510, 145	T510, 145	T510, 145	T510, 145		
T450			ε, 128		ε, 128									'..' T512, 127																									ε, 128			ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T451		T512, 132									'(' T93 ')', 131																																																T512, 132	T512, 132	T512, 132	T512, 132		
T452		T513 T514, 116									T513 T514, 116																																								T513 T514, 116	T513 T514, 116							T513 T514, 116	T513 T514, 116	T513 T514, 116	T513 T514, 116		
T453			ε, 113		ε, 113																																		ε, 113			ε, 113	ε, 113	ε, 113	ε, 113	'>' T392, 109	'<' T392, 110	'>=' T392, 111	'<=' T392, 112															
T454		T515 T516, 120									T515 T516, 120																																								T515 T516, 120	T515 T516, 120							T515 T516, 120	T515 T516, 120	T515 T516, 120	T515 T516, 120		
T455			ε, 119		ε, 119																																		ε, 119					ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T454 T455, 117	'-' T454 T455, 118												
T456		T517 T518, 120									T517 T518, 120																																								T517 T518, 120	T517 T518, 120							T517 T518, 120	T517 T518, 120	T517 T518, 120	T517 T518, 120		
T457			ε, 119		ε, 119																																		ε, 119			ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T456 T457, 117	'-' T456 T457, 118												
T458			ε, 108		ε, 108																																		ε, 108			ε, 108	ε, 108	'==' T519 T458, 106	'!=' T519 T458, 107																			
T459		T520 T521, 114									T520 T521, 114																																							'~' T520 T521, 115	T520 T521, 114	T520 T521, 114							T520 T521, 114	T520 T521, 114	T520 T521, 114	T520 T521, 114		
T460			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150																															ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T401, 149	
T461							'[' T75 ']', 148				'(' T48 ')', 150		ε, 151																													ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T405, 149	
T462		T523, 146																																																									T522, 145	T522, 145	T522, 145	T522, 145		
T463													ε, 128	'..' T524, 127																												ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T464		T524, 132									'(' T93 ')', 131																																																T524, 132	T524, 132	T524, 132	T524, 132		
T465																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T466		'id' T525, 147																																																														
T467		T527, 146																																																									T526, 145	T526, 145	T526, 145	T526, 145		
T468		T529, 146																																																									T528, 145	T528, 145	T528, 145	T528, 145		
T469			ε, 128										ε, 128	'..' T530, 127																												ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T470		T530, 132									'(' T93 ')', 131																																																T530, 132	T530, 132	T530, 132	T530, 132		
T471		T531 T532, 116									T531 T532, 116																																								T531 T532, 116	T531 T532, 116							T531 T532, 116	T531 T532, 116	T531 T532, 116	T531 T532, 116		
T472			ε, 113										ε, 113																													ε, 113	ε, 113	ε, 113	ε, 113	'>' T413, 109	'<' T413, 110	'>=' T413, 111	'<=' T413, 112															
T473		T533 T534, 120									T533 T534, 120																																								T533 T534, 120	T533 T534, 120							T533 T534, 120	T533 T534, 120	T533 T534, 120	T533 T534, 120		
T474			ε, 119										ε, 119																															ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T473 T474, 117	'-' T473 T474, 118												
T475		T535 T536, 116									T535 T536, 116																																								T535 T536, 116	T535 T536, 116							T535 T536, 116	T535 T536, 116	T535 T536, 116	T535 T536, 116		
